"filename", "language", "Markdown", "Ini", "Python", "JSON", "Properties", "reStructuredText", "YAML", "JavaScript", "TypeScript", "pip requirements", "CSS", "Svelte", "XML", "JSON with Comments", "HTML", "Shell Script", "comment", "blank", "total"
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/.trunk/configs/.isort.cfg", "Properties", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/.trunk/configs/.markdownlint.yaml", "YAML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/.trunk/configs/.yamllint.yaml", "YAML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/.trunk/configs/svgo.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/.trunk/trunk.yaml", "YAML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 39
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/AGENTIC_REASONING_INTEGRATION.md", "Markdown", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 170
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/CLAUDE.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/CODEBASE_IMPROVEMENT_ROADMAP.md", "Markdown", 1299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 1585
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/CODEBASE_IMPROVEMENT_SUMMARY.md", "Markdown", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 153
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/CONTINUOUS_ORCHESTRATION.md", "Markdown", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 197
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/GEMINI_FEEDBACK_ASSESSMENT.md", "Markdown", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 141
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/GEMINI_INTEGRATION.md", "Markdown", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 218
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/IMPLEMENTATION_PREREQUISITES.md", "Markdown", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 336
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/INTEGRATION_GUIDE.md", "Markdown", 616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 768
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/Miniconda3-latest-MacOSX-x86_64.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 926993, 3675, 6412, 937080
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/ORCHESTRATION_FIXES.md", "Markdown", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 152
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/PROJECT_BREAKDOWN.md", "Markdown", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 183
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/PROJECT_STATUS.md", "Markdown", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 161
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/PROMPT_LIBRARY_DESIGN.md", "Markdown", 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 411
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/README 2.md", "Markdown", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 193
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/README.md", "Markdown", 1263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1276
"/Users/vetleforthun/Documents/GitHub/Agentic-Reasoning/TESTING_GUIDE.md", "Markdown", 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 421
