"filename", "language", "JSON", "Python", "Markdown", "YAML", "Properties", "Shell Script", "reStructuredText", "PowerShell", "Ini", "pip requirements", "Svelte", "TypeScript", "JavaScript", "CSS", "HTML", "JSON with Comments", "comment", "blank", "total"
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/.trunk/configs/.isort.cfg", "Properties", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/.trunk/configs/.markdownlint.yaml", "YAML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/.trunk/configs/.yamllint.yaml", "YAML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/.trunk/trunk.yaml", "YAML", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 38
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/README.md", "Markdown", 0, 0, 4760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4764
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/__init__.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/__init__.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/discourse_manager.py", "Python", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 146
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/lm_configs.py", "Python", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 96
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/__init__.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/article_generation.py", "Python", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 124
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/callback.py", "Python", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 111
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/co_storm_agents.py", "Python", 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 376
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/collaborative_storm_utils.py", "Python", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48, 262
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/costorm_expert_utterance_generator.py", "Python", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 161
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/expert_generation.py", "Python", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 84
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/grounded_question_answering.py", "Python", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 164
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/grounded_question_generation.py", "Python", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 114
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/information_insertion_module.py", "Python", 0, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 41, 425
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/knowledge_base_summary.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/simulate_user.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/modules/warmstart_hierarchical_chat.py", "Python", 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46, 409
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/runner.py", "Python", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 84
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/runner_args.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/collaborative_storm/turn_policy.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/dataclass.py", "Python", 0, 731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 113, 850
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/encoder.py", "Python", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35, 179
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/interface.py", "Python", 0, 493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 114, 609
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/lm.py", "Python", 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 712, 216, 1289
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/logging_wrapper.py", "Python", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29, 213
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/rm.py", "Python", 0, 1022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 176, 1239
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/storm_analysis/__init__.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/storm_analysis/engine.py", "Python", 0, 400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36, 443
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/storm_analysis/modules/__init__.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/storm_analysis/modules/article_generation.py", "Python", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25, 190
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/storm_analysis/modules/article_polish.py", "Python", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 103
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/storm_analysis/modules/callback.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/storm_analysis/modules/knowledge_curation.py", "Python", 0, 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55, 392
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/storm_analysis/modules/outline_generation.py", "Python", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 168
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/storm_analysis/modules/persona_generator.py", "Python", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34, 155
"/Users/vetleforthun/Documents/GitHub/agenticgroking/Agentic-Reasoning/agentic_research/storm_analysis/modules/retriever.py", "Python", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 234
